name,mfr,type,calories,protein,fat,sodium,fiber,carbo,sugars,potass,vitamins,shelf,weight,cups,rating
Trix,G,C,110,1,1,140,0,13,12,25,25,2,1,1,27.753301
Frosted Flakes,K,C,110,1,0,200,1,14,11,25,25,1,1,0.75,31.435973
Raisin Squares,K,C,90,2,0,0,2,15,6,110,25,3,1,0.5,55.333142
Maypo,A,H,100,4,1,0,0,16,3,95,25,2,1,1,54.850917
Cracklin' Oat Bran,K,C,110,3,3,140,4,10,7,160,25,3,1,0.5,40.448772
All-Bran with Extra Fiber,K,C,50,4,0,140,14,8,0,330,25,3,1,0.5,93.704912
Great Grains Pecan,P,C,120,3,3,75,3,13,4,100,25,3,1,0.33,45.811716
Fruitful Bran,K,C,120,3,0,240,5,14,12,190,25,3,1.33,0.67,41.015492
Apple Jacks,K,C,110,2,0,125,1,11,14,30,25,2,1,1,33.174094
Total Corn Flakes,G,C,110,2,1,200,0,21,3,35,100,3,1,1,38.839746
